Keimah ka min cu Peng a si.	My name is Peng
Indianapolis ah ka um.	I live in Indianapolis
Indiana University ah sianginn ka kai.	I go to school at Indiana University
Ka dam ve, kaa lawm.	I am also well, thank you
Khoi ka ah dah atu an um?	Where are they now?
Lih a si!	It is a lie!
Ka ke a faak.	My leg hurts
A kaa a fa.	Her mouth is small
An mit an i hnuai.	they were rubbing their eyes
Ka far nu cu a sam a sau.	My sister's hair is long.
A lei aa seh.	he bit his tongue
Na dam maw?	How are you?
Tuni cu zei dah na tuah lai?	What are you going to do today?
Mipa a ṭap lio nizaan ah ka hmuh.	I saw a man crying yesterday
Ka nu min a thei lo.	He does not know my mother's name
A baan ah hma a um.	he has a wound on his arm
Zei hmanh ka hmu kho lai lo.	I will not be able to see anything
A hnar aa kheuh.	he is scratching his nose
Tuzaan cu arfi an tam tuk.	There are a lot of stars tonight
Na fa a ṭap tuk.	your child cry a lot
Na pa nih ruul a thah	your father killed a snake
Kan inn ah kal	Go to our house
Zei dah na tuah lai?	What are you going to do?
Dawr ah na kal lai maw?	Are you going to the store?
Bawmh na herh maw?	Do you need help?
Naa khawng maw?	Are you hurt?
Khoi ka dah naa khawng?	where does it hurt?
Sibawi na herh maw?	Do you need a doctor?
Na khoi kaa dah a thi chuak?	Where are you bleeding?
Sibawi pa sinah na kal ahau	You need to see a doctor.
Sibawi chikhat ah a ra lai	The doctor will be right with you.
Ka lu afak	My head hurts.
Ka lung amit	I am nauseous.
Ka ruh a kiak	I broke a bone.
Ka tha aa rengh	I strained a muscle.
Ka thi a chuak	I am bleeding.
Ka aat sual	I cut myself accidentally.
Ka lu kaa sut	I hit my head.
Mawṭaw kaa tteih	I was in a car accident.
Azaw mi min a ho dah a si?	What is the patient's name?
Na chuah nithla zei dah a si?	What is your date of birth?
Pee zeizat dah na si?	What is your height?
Pawng zeizat dah na si?	What is your weight?
Rawl i ziak lo mi na ngei maw?	Do you have any food allergies?
Si i ziak lo mi na ngei maw?	Do you have any drug allergies?
Si naa ziak lo ah zei tiin dah na um?	What kind of reaction to the allergen do you have?
Na nu hrin holh zei dah a si?	What is your primary language?
Holh lettu na herh maw?	Do you need a translator?
Nikum chung ah sizungpi na phan bal maw?	Have you been hospitalized in the last year?
Hma na ngei maw?	Do you have an open wound?
Chungtlik na ngei maw?	Do you have diarrhea?
Thi an in rawnh bal maw?	Have you ever received blood or blood products?
Nau na pawi maw?	Are you pregnant or menstruating?
Zei tik dah na thi rat a donghnak a si?	When was your last menstrual period?
Voi zeizat dah nau na pawi bal cang?	How many times have you been pregnant?
Fa pa zeizat dah na ngeih cang?	How many children do you have?
Zunthlum zawtnak na ngei maw?	Do you have diabetes?
Nangmah lawng khua na sa maw?	Do you live alone?
Inn ah mizaw zohkhenh mi na ngei maw?	Do you care for someone ill in the home?
Zei bantuk inn ah dah na um?	Describe your living conditions. (What kind of home do you live in?)
Na C laknak kong ah chambau mi na ngei maw?	Do you have needs to obtain your medication?
Inn i an bawmtu ding ah sehthilri na ngei maw?	Is there any assistive equipment you use at home?
I lehthal nak ding ah mi bawmtu  na herh maw?	Do you need assistance to change positions?
A zaanchiar na hnar tawn maw?	Do you snore most nights? ( do you snore every night?)
Rawl ei i sum mi na ngei maw?	Do you have any dietary restrictions?
Zunzun lei ah na tlamtling lo mi a um maw?	Do you have any urination problems?
Ek-ek khawh lo  in na um maw?	Are you constipated?
Tunai hrawng ah lungrawknak an petu an um maw?	Have you had a recent major stressor in your life?
Nan inn ah hin na hna a ngam maw?	Do you feel safe in your relationships at home?
Nan inn ah kuak a zu mi an um maw?	Do people smoke in your home?
Thil mansung na rak i put maw?	Did you bring valuables with you?
Zei bantuk ṭihphannak le bia halnak dah na ngei?	What anxieties, questions, fears, or concerns do you have (about your healthcare)?
Zaangfahnak tein sizung luhnak ca van phi ta?	Please fill out an (admission/intake) entry form.
Zei dah mizaw a zawtnak hmasabik a si?	What is the first illness the patient has? (What are the patient's current primary diagnoses?)
Na sibawi min aho dah a si?	What is your doctor's (primary physician's) name?
Na insurance min zei dah a si?	What is the name of your health insurance plan?
Na rian ṭuannak min zei dah a si?	What is the name of your employer?
Hika hin an hluai tu sibawi a min tial.	On this form write the name of the doctor who sent you here.
Zei tiin dah phaisa na pek lai?	What is your method of payment?
Zei ruangah dah na rat?	Why did you come here today? (Like, what brought you here?)
Zei tik ah dah na hmelchunhnak hi a langh?	When did you first experience these symptoms?
Zei tiin dah eksidenh cu a cang?	How did the accident happen?
Khoi kaa ah dah na si thoh na duh?	What is your preferred pharmacy?
Hi bantuk fahnak hi na tuar bel maw?	Have you ever felt this pain before?
Zei tluk in dah na faak hi langhter.	Please indicate the level of pain you are in.
Zei nih dah an faakter khun?	What makes your pain worse?
Zei nih dah na fahnak a damter deuh?	What makes your pain better?
Rian na ṭuan maw?	What is your employment status?
Nupi/Pasal na ngei maw?	What is your marital status?
Zei tik ah dah naa khawng silo ah na zawt?	When was the onset of injury or illness?
Atu ah hin zawtnak ruangah zohkhenh mi na si  maw?	Are you presently being treated for a medical condition?
Rawl na ei tawn lengmang mi kan chim.	Please describe the foods you eat regularly.
Eksersais na tuah tawn lengmang maw?	Do you exercise regularly?
Zei bantuk eksersais dah na tuah tawn?	What type of exercise do you do?
Atu ah si na din lio mi a um maw?	Are you currently taking any medications?
Vitamin C na ding mi a um maw?	Are you currently taking any vitamins?
Damnak caah anhring C na hmang maw?	Are you currently taking any herbs?
Zei miphun dah na si?	What is your racial identity?
Zei cataang tiang dah a sang bik sianginn na kai?	What is your highest level of education?
